rooms,serie,area,furniture,floor,region,price
1,1,33,1,12,1,21500
3,0,71,1,6,3,87000
1,0,39,1,6,1,21500
3,0,135,1,3,2,86000
1,0,38,1,7,1,21500
1,0,35,0,2,1,21500
1,1,22,1,2,2,21500
1,1,49,1,10,2,21500
1,0,23,0,1,1,21500
1,1,33,1,2,4,21500
1,1,38,1,1,3,21500
3,0,45,1,1,1,21500
1,1,22,1,3,2,21500
3,1,72,1,8,1,21500
1,0,38,1,8,3,21500
1,0,22,1,6,3,21500
1,0,22,0,2,2,21500
1,0,22,1,4,4,21500
1,0,30,1,1,1,21800
1,0,35,1,1,2,22002
1,0,32,0,2,2,22000
1,0,55,1,4,3,22000
1,0,55,0,2,4,22000
2,0,48,1,8,4,22000
2,0,42,1,8,3,22000
2,0,35,1,1,2,22000
1,0,30,1,1,1,22000
1,0,28,1,9,1,22000
1,0,33,1,5,3,22000
3,0,51,1,6,1,22000
1,0,30,1,8,1,22000
1,0,44,0,1,3,22400
1,0,30,1,7,"4
",22500
1,0,33,1,4,1,22500
1,0,30,1,4,4,22500
,0,35,1,2,3,22500
1,0,31,1,8,2,22500
1,0,30,1,2,3,22700
1,0,39,1,2,3,22800
1,0,39,1,3,1,22900
1,0,32,1,5,3,23000
1,0,42,1,3,4,23000
2,0,36,0,2,1,23000
2,0,42,1,6,2,30000
2,0,48,1,3,1,30000
2,0,61,1,6,1,30000
2,0,44,1,7,2,30000
2,0,45,1,7,4,30000
3,0,62,1,7,2,30000
1,0,25,1,5,3,23000
1,0,36,1,2,3,23000
1,0,25,1,5,1,23000
1,0,41,1,6,4,23000
1,0,30,1,1,1,23000
1,0,38,1,6,3,23000
1,0,43,1,5,3,23000
2,0,46,0,1,4,23000
2,0,40,1,8,4,23000
2,0,85,1,3,1,87000
1,0,30,1,7,4,23000
1,0,40,0,2,3,23200
1,0,48,0,2,4,23380
1,0,45,1,4,3,23500
1,0,32,0,1,2,23500
1,0,36,1,3,4,23500
1,0,34,0,2,4,23500
1,0,37,1,7,3,23500
1,0,22,1,9,2,23500
1,0,35,1,3,3,23500
1,0,31,1,7,2,23500
1,0,36,1,3,4,23500
1,0,31,0,1,2,23500
1,0,31,1,7,2,23500
1,0,18,1,1,2,23500
1,0,32,1,4,2,23500
1,0,25,0,1,3,23500
1,0,43,0,1,3,23500
1,0,38,1,9,2,23500
1,0,31,1,3,2,23500
1,0,30,1,9,4,23500
1,0,23,1,4,3,23500
1,0,40,1,2,3,23500
1,0,47,1,5,4,23500
2,0,39,1,6,1,23500
1,0,36,0,1,4,23500
2,0,90,1,1,1,86700
2,0,85,1,2,1,86500
1,0,44,1,1,2,23718
1,0,33,1,4,2,23800
1,0,38,1,8,2,23940
1,0,40,1,5,1,24000
1,0,34,1,7,4,24000
1,0,21,1,2,"2
",24000
1,0,48,0,2,4,24000
1,0,36,1,5,1,24000
1,0,44,1,2,3,24000
1,0,44,0,2,3,24000
1,0,45,0,1,3,24000
2,0,80,1,1,4,24000
3,0,56,1,1,3,24000
1,0,33,1,7,4,24000
1,0,44,1,4,3,24000
1,0,30,1,3,4,24000
2,0,48,1,6,1,24000
3,0,76,0,2,1,24000
1,0,30,1,7,2,24000
1,0,32,1,3,"4
",24000
1,0,34,1,6,2,24000
2,0,39,1,7,3,24000
1,0,39,1,1,3,24960
1,0,28,1,1,2,25000
1,0,30,1,5,1,25000
1,0,29,1,5,2,25000
1,0,37,1,4,3,25000
1,0,44,1,2,3,25000
3,0,33,0,1,2,25000
1,0,56,1,1,1,25000
1,0,24,1,2,3,25000
3,0,61,1,1,1,52000
3,0,68,1,4,1,68000
2,0,58,1,1,1,45000
3,1,90,1,1,2,63900
3,0,117,1,5,1,79000
2,0,75,1,2,3,35000
2,0,69,1,3,2,42900
2,1,75,0,2,3,54000
2,0,43,1,8,4,21500
2,0,67,1,5,2,30400
2,0,45,0,1,1,30500
2,0,78,1,9,3,31000
3,0,143,0,2,1,250000
3,0,156,0,1,1,249500
3,0,140,0,2,1,180000
3,0,160,1,6,2,180000
3,1,130,1,1,2,175000
3,0,266,1,5,3,172900
3,1,126,1,10,2,170000
3,0,115,1,1,1,170000
3,0,130,0,2,2,155000
3,0,155,1,6,4,160000
3,0,160,1,4,2,155000
3,0,111,1,8,1,155000
3,0,125,1,3,2,155000
3,0,126,1,9,4,135000
3,0,107,0,1,3,135000
3,0,180,1,4,2,135000
3,0,115,1,5,3,133000
3,0,120,1,1,1,130000
3,0,100,0,2,1,130000
3,0,82,1,8,1,130000
3,0,125,1,1,1,130000
3,0,135,1,8,1,130000
3,0,112,1,4,1,126000
3,0,130,1,5,1,125000
3,0,110,1,6,2,125000
